Generation,Model Name,Lineage
20250326_205124,NeuroEvolution (NEAT),Gen-20250326_205124-NeuroEvolution (NEAT)
20250326_205124,SGD,Gen-20250326_205124-SGD
20250326_205124,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_205124-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
