Generation,Model Name,Lineage
20250326_202935,NeuroEvolution (NEAT),Gen-20250326_202935-NeuroEvolution (NEAT)
20250326_202935,SGD,Gen-20250326_202935-SGD
20250326_202935,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_202935-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
