Generation,Model Name,Lineage
20250326_202020,NeuroEvolution (NEAT),Gen-20250326_202020-NeuroEvolution (NEAT)
20250326_202020,SGD,Gen-20250326_202020-SGD
20250326_202020,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_202020-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
