Generation,Model Name,Lineage
20250326_215324,NeuroEvolution (NEAT),Gen-20250326_215324-NeuroEvolution (NEAT)
20250326_215324,SGD,Gen-20250326_215324-SGD
20250326_215324,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_215324-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
