Generation,Model Name,Lineage
20250326_201912,NeuroEvolution (NEAT),Gen-20250326_201912-NeuroEvolution (NEAT)
20250326_201912,SGD,Gen-20250326_201912-SGD
20250326_201912,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_201912-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
