Generation,Model Name,Lineage
20250326_025015,NeuroEvolution (NEAT),Gen-20250326_025015-NeuroEvolution (NEAT)
20250326_025015,SGD,Gen-20250326_025015-SGD
20250326_025015,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_025015-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
