Generation,Model Name,Lineage
20250326_210240,NeuroEvolution (NEAT),Gen-20250326_210240-NeuroEvolution (NEAT)
20250326_210240,SGD,Gen-20250326_210240-SGD
20250326_210240,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_210240-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
