Model,Mean Squared Error (MSE),R² Score,ROC-AUC Score,Accuracy Score,Log Loss,Training Time (s),Prediction Time (s),Cross-Validation Stability,Fitness Score
Elastic Net,0.03721750255903229,0.14290032522469087,0.952906885142587,0.9545078577336642,1.6397030077762147,0.07199597358703613,0.0005180835723876953,0.1721632814307658,0.18930386871095264
SGD,0.04289350590933394,0.012184928138315287,0.8554435166220261,0.9594706368899917,1.4608263160188097,0.011418819427490234,0.0005090236663818359,0.2126830095604117,0.1964589539324978
Gradient Boosting,0.005555996359350104,0.8720483013308458,0.9978099889711675,0.9933829611248967,0.02322537767618015,8.11316180229187,0.0025768280029296875,0.9931775449332092,0.10281998957961734
CNN (MLP),0.001688510514653581,0.9611144834162697,0.9999527335749173,0.9983457402812241,0.0060235345803089585,5.345175743103027,0.0013370513916015625,0.9968989034844068,0.15468422951139413
Diffusion Model,0.355665839462139,-7.190798800864325,0.6379391838663936,0.6443341604631927,12.796068407887995,0.49477672576904297,0.003550291061401367,11.864125453710738,0.05325755331082186
GA-Optimized LR,0.017823615361075622,0.5895314333607631,0.98033716716559,0.9776674937965261,0.06797137608563414,19.817595720291138,0.0004069805145263672,0.9811836043997367,0.04329556825995335
NeuroEvolution (NEAT),0.045492142266335814,-0.047660311958405366,0.5,0.9545078577336642,0.18017319994800493,31.253654956817627,0.01751565933227539,0.9999999573547436,0.5880177527526033
