Generation,Model Name,Lineage
20250326_205659,NeuroEvolution (NEAT),Gen-20250326_205659-NeuroEvolution (NEAT)
20250326_205659,SGD,Gen-20250326_205659-SGD
20250326_205659,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_205659-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
