Generation,Model Name,Lineage
20250326_214606,NeuroEvolution (NEAT),Gen-20250326_214606-NeuroEvolution (NEAT)
20250326_214606,SGD,Gen-20250326_214606-SGD
20250326_214606,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_214606-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
