Generation,Model Name,Lineage
20250326_205039,NeuroEvolution (NEAT),Gen-20250326_205039-NeuroEvolution (NEAT)
20250326_205039,SGD,Gen-20250326_205039-SGD
20250326_205039,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_205039-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
