Generation,Model Name,Lineage
20250326_222224,NeuroEvolution (NEAT),Gen-20250326_222224-NeuroEvolution (NEAT)
20250326_222224,SGD,Gen-20250326_222224-SGD
20250326_222224,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_222224-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
