Generation,Model Name,Lineage
20250326_211151,NeuroEvolution (NEAT),Gen-20250326_211151-NeuroEvolution (NEAT)
20250326_211151,SGD,Gen-20250326_211151-SGD
20250326_211151,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_211151-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
