Generation,Model Name,Lineage
20250326_025847,NeuroEvolution (NEAT),Gen-20250326_025847-NeuroEvolution (NEAT)
20250326_025847,SGD,Gen-20250326_025847-SGD
20250326_025847,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_025847-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
