Generation,Model Name,Lineage
20250326_203930,NeuroEvolution (NEAT),Gen-20250326_203930-NeuroEvolution (NEAT)
20250326_203930,SGD,Gen-20250326_203930-SGD
20250326_203930,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_203930-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
