Generation,Model Name,Lineage
20250326_201722,NeuroEvolution (NEAT),Gen-20250326_201722-NeuroEvolution (NEAT)
20250326_201722,SGD,Gen-20250326_201722-SGD
20250326_201722,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_201722-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
