Generation,Model Name,Lineage
20250326_205142,NeuroEvolution (NEAT),Gen-20250326_205142-NeuroEvolution (NEAT)
20250326_205142,SGD,Gen-20250326_205142-SGD
20250326_205142,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_205142-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
