Generation,Model Name,Lineage
20250326_205027,NeuroEvolution (NEAT),Gen-20250326_205027-NeuroEvolution (NEAT)
20250326_205027,SGD,Gen-20250326_205027-SGD
20250326_205027,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_205027-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
