Generation,Model Name,Lineage
20250326_220910,NeuroEvolution (NEAT),Gen-20250326_220910-NeuroEvolution (NEAT)
20250326_220910,SGD,Gen-20250326_220910-SGD
20250326_220910,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_220910-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
