Generation,Model Name,Lineage
20250326_203320,NeuroEvolution (NEAT),Gen-20250326_203320-NeuroEvolution (NEAT)
20250326_203320,SGD,Gen-20250326_203320-SGD
20250326_203320,Hybrid_NeuroEvolution (NEAT)_SGD_Gen3,Gen-20250326_203320-Hybrid_NeuroEvolution (NEAT)_SGD_Gen3
