Generation,Model Name,Lineage
20250326_220534,NeuroEvolution (NEAT),Gen-20250326_220534-NeuroEvolution (NEAT)
20250326_220534,SGD,Gen-20250326_220534-SGD
20250326_220534,Hybrid_NeuroEvolution (NEAT)_SGD_Gen50,Gen-20250326_220534-Hybrid_NeuroEvolution (NEAT)_SGD_Gen50
