Generation,Model Name,Lineage
20250326_025300,Hybrid_NeuroEvolution (NEAT)_SGD_Gen2,Gen-20250326_025300-Hybrid_NeuroEvolution (NEAT)_SGD_Gen2
20250326_025300,NeuroEvolution (NEAT),Gen-20250326_025300-NeuroEvolution (NEAT)
20250326_025300,SGD,Gen-20250326_025300-SGD
20250326_025300,Hybrid_Hybrid_NeuroEvolution (NEAT)_SGD_Gen2_NeuroEvolution (NEAT)_Gen3,Gen-20250326_025300-Hybrid_Hybrid_NeuroEvolution (NEAT)_SGD_Gen2_NeuroEvolution (NEAT)_Gen3
