Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
,,,,,,,
Open Ended Schemes ( Equity Scheme - Multi Cap Fund ),,,,,,,
,,,,,,,
,,,,,,,
Motilal Oswal Mutual Fund,,,,,,,
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.5147,,,24-Dec-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.5826,,,26-Dec-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.5732,,,27-Dec-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.7412,,,30-Dec-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.6783,,,31-Dec-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.7442,,,1-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.8766,,,2-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.8398,,,3-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.4718,,,6-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.5113,,,7-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.3833,,,8-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,13.202,,,9-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.9609,,,10-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.3882,,,13-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6145,,,14-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6321,,,15-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.7223,,,16-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.623,,,17-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.7008,,,20-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.2938,,,21-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1023,,,22-Jan-25
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.3657,,,23-Jan-25
