Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G18,❌ Eliminated
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G18,❌ Eliminated
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.207,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.207,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
26,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G26,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
