Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.191,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.19,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.189,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.189,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.188,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
3,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G3,0.188,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Survived
