pr_auc,roc_auc,model,resampler,dataset
0.670007384113026,0.9282479843905312,Elastic_L50_C5,SMOTETomek,baseline_easy_w5_n5_d0.csv
0.665403222942004,0.9286406754285854,Elastic_L50_C5,SMOTEENN,baseline_easy_w5_n5_d0.csv
0.7120466045348364,0.9303218839352551,Elastic_L50_C5,Random Undersample,baseline_easy_w5_n5_d0.csv
0.6499312906099186,0.9239774693516917,Elastic_L50_C5,Cluster Centroids,baseline_easy_w5_n5_d0.csv
0.6865479532502661,0.9309354636822147,Elastic_L50_C5,No Resampling,baseline_easy_w5_n5_d0.csv
0.15015931978314115,0.7973390622644354,Elastic_L50_C5,Manual Upsampling,high_drift_w3_n10_d60.csv
0.14617766680207228,0.8045567616463138,Elastic_L50_C5,SMOTE,high_drift_w3_n10_d60.csv
0.13954872137092017,0.799298959746721,Elastic_L50_C5,ADASYN,high_drift_w3_n10_d60.csv
0.172142773027838,0.8027099351726218,Elastic_L50_C5,Borderline SMOTE,high_drift_w3_n10_d60.csv
0.14617766680207228,0.8045567616463138,Elastic_L50_C5,SMOTETomek,high_drift_w3_n10_d60.csv
0.13608598750420478,0.8029926126941053,Elastic_L50_C5,SMOTEENN,high_drift_w3_n10_d60.csv
0.17927175261794953,0.7971883009196441,Elastic_L50_C5,Random Undersample,high_drift_w3_n10_d60.csv
0.1585186742613265,0.7881426202321724,Elastic_L50_C5,Cluster Centroids,high_drift_w3_n10_d60.csv
0.14923922196583222,0.7950964872606663,Elastic_L50_C5,No Resampling,high_drift_w3_n10_d60.csv
0.03324502144805271,0.6202972451961942,Elastic_L50_C5,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv
0.03655161409094776,0.6321746160064673,Elastic_L50_C5,SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.036759324915284816,0.6311174678191656,Elastic_L50_C5,ADASYN,imbalanced_sparse_w0_n10_d10.csv
0.02565196692948222,0.6589142466264536,Elastic_L50_C5,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03655161409094776,0.6321746160064673,Elastic_L50_C5,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv
0.03581270456674984,0.6331073938187923,Elastic_L50_C5,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv
0.019315828062248904,0.5985946147627635,Elastic_L50_C5,Random Undersample,imbalanced_sparse_w0_n10_d10.csv
0.04428229994425495,0.5955475405758348,Elastic_L50_C5,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv
0.04138470668934223,0.5232261675268951,Elastic_L50_C5,No Resampling,imbalanced_sparse_w0_n10_d10.csv
0.14837634030424565,0.773046781526681,Elastic_L50_C5,Manual Upsampling,mixed_realistic_w4_n15_d30.csv
0.14149476062104702,0.7724635080162718,Elastic_L50_C5,SMOTE,mixed_realistic_w4_n15_d30.csv
0.15885891650529413,0.77494615936827,Elastic_L50_C5,ADASYN,mixed_realistic_w4_n15_d30.csv
0.1507071933556911,0.7682310361330462,Elastic_L50_C5,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv
0.14149476062104702,0.7724635080162718,Elastic_L50_C5,SMOTETomek,mixed_realistic_w4_n15_d30.csv
