Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.207,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.206,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.202,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G18,❌ Eliminated
27,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G27,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G18,❌ Eliminated
