Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G23,❌ Eliminated
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G14,❌ Eliminated
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G23,❌ Eliminated
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G23,✅ Survived
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.177,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G23,❌ Eliminated
34,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G34,0.177,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G14,❌ Eliminated
