pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.03987530280776353,0.5963669950738916,Elastic_L30_C1,Cluster Centroids,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03998896195569097,0.5862838669950738,Elastic_L30_C1,No Resampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.6834224380791711,0.930125538416228,Elastic_L50_C5,Manual Upsampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.669838490222227,0.9282847991753489,Elastic_L50_C5,SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5269471505901471,0.9046006209427038,Elastic_L50_C5,ADASYN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5181584640408753,0.9153259949195597,Elastic_L50_C5,Borderline SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6696532948126012,0.9283093423652271,Elastic_L50_C5,SMOTETomek,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6652731803031735,0.9286529470235247,Elastic_L50_C5,SMOTEENN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.7128971981680339,0.930567315834039,Elastic_L50_C5,Random Undersample,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6500153806138047,0.9243456171998675,Elastic_L50_C5,Cluster Centroids,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6864742447245963,0.9309231920872756,Elastic_L50_C5,No Resampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.15015632240309496,0.7973202170963365,Elastic_L50_C5,Manual Upsampling,high_drift_w3_n10_d60.csv,0.0356,True
0.14635219968468438,0.8046698326549073,Elastic_L50_C5,SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.13953999728253402,0.7993931855872154,Elastic_L50_C5,ADASYN,high_drift_w3_n10_d60.csv,0.0356,True
0.17214137042639197,0.8027099351726218,Elastic_L50_C5,Borderline SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.14635219968468438,0.8046698326549073,Elastic_L50_C5,SMOTETomek,high_drift_w3_n10_d60.csv,0.0356,True
