Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G9,❌ Eliminated
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G9,✅ Survived
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G9,✅ Survived
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G9,✅ Survived
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G6,❌ Eliminated
11,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G11,0.177,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G6,❌ Eliminated
