Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G1,✅ Survived
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G1,✅ Survived
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G1,✅ Survived
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G0,✅ Survived
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.178,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G0,✅ Survived
2,high_drift_w3_n10_d60.csv,0.036,Elastic_L70_C10 + Borderline SMOTE_G2,0.177,✅ Yes,child of Elastic_L70_C10 + Borderline SMOTE_G1,❌ Eliminated
