Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.209,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G32,✅ Survived
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.204,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G44,❌ Eliminated
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.202,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G44,❌ Eliminated
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G32,❌ Eliminated
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G39,❌ Eliminated
49,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G49,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G39,❌ Eliminated
