Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.206,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G28,❌ Eliminated
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.206,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.206,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G28,❌ Eliminated
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
31,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G31,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
