Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G3,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G2,✅ Survived
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G3,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G2,✅ Survived
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTE_G3,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTE_G2,✅ Survived
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTE_G3,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTE_G2,✅ Survived
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTE_G3,0.672,✅ Yes,child of Elastic_L70_C10 + SMOTE_G2,❌ Eliminated
3,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTE_G3,0.672,✅ Yes,child of Elastic_L70_C10 + SMOTE_G2,❌ Eliminated
