Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.209,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Survived
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Survived
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.208,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Survived
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.206,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Survived
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.204,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G14,❌ Eliminated
16,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G16,0.203,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G15,❌ Eliminated
