Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.209,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G28,✅ Survived
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.207,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.203,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G19,❌ Eliminated
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.201,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G28,❌ Eliminated
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.2,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
32,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L70_C10 + Cluster Centroids_G32,0.2,✅ Yes,child of Elastic_L70_C10 + Cluster Centroids_G16,❌ Eliminated
