Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G12,❌ Eliminated
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G12,❌ Eliminated
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G25,✅ Survived
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G25,❌ Eliminated
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G33,✅ Survived
38,baseline_easy_w5_n5_d0.csv,0.055,Elastic_L70_C10 + SMOTETomek_G38,0.673,✅ Yes,child of Elastic_L70_C10 + SMOTETomek_G33,❌ Eliminated
