Date,Open_CSCO,High_CSCO,Low_CSCO,Close_CSCO,Adj Close_CSCO,Volume_CSCO,Open_ADBE,High_ADBE,Low_ADBE,Close_ADBE,Adj Close_ADBE,Volume_ADBE,Open_FCEL,High_FCEL,Low_FCEL,Close_FCEL,Adj Close_FCEL,Volume_FCEL,Open_AMZN,High_AMZN,Low_AMZN,Close_AMZN,Adj Close_AMZN,Volume_AMZN,Open_AMD,High_AMD,Low_AMD,Close_AMD,Adj Close_AMD,Volume_AMD,Open_ERIC,High_ERIC,Low_ERIC,Close_ERIC,Adj Close_ERIC,Volume_ERIC,Open_FORD,High_FORD,Low_FORD,Close_FORD,Adj Close_FORD,Volume_FORD,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj Close_AAPL,Volume_AAPL
2000-01-03,54.96875,55.125,51.78125,54.03125,35.57293701171875,53076000,16.8125,16.875,16.0625,16.390625,16.27467155456543,7384400,26797.5,26797.5,24300.0,26122.5,26122.5,22,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875,4.46875,322352000,14.96875,15.59375,14.6875,15.5,15.5,7843200,85.390625,85.76171875,82.03125,85.078125,50.79183197021485,5240800,31.25,31.875,28.125,30.625,30.625,4260,0.9363840222358704,1.004464030265808,0.9079239964485168,0.9994419813156128,0.8421506285667419,535796800
2000-01-04,52.75,53.5,50.875,51.0,33.57723617553711,50805600,15.75,16.453125,14.984375,15.015625,14.909399032592772,7813200,25380.0,25920.0,24300.0,24570.0,24570.0,18,4.268750190734863,4.574999809265137,4.087500095367432,4.096875190734863,4.096875190734863,349748000,15.125,15.5,14.59375,14.625,14.625,6290200,82.1875,83.4375,78.59375,78.671875,46.96728515625,5969680,31.25,31.25,26.25,30.625,30.625,2360,0.966517984867096,0.9877229928970336,0.9034600257873536,0.9151790142059326,0.7711488008499146,512377600
2000-01-05,50.03125,52.25,48.625,50.84375,33.474365234375,68524000,14.5625,15.6875,14.5625,15.3125,15.204174041748049,14927200,24300.0,24300.0,22950.0,24300.0,24300.0,11,3.5250000953674316,3.756249904632568,3.4000000953674316,3.487499952316284,3.487499952316284,769148000,14.53125,15.0625,14.0,15.0,15.0,8204600,77.34375,77.5,73.59375,75.3125,44.961727142333984,7957840,26.25,30.0,26.25,28.75,28.75,720,0.9263389706611632,0.9871649742126464,0.919642984867096,0.9285709857940674,0.7824332118034363,778321600
2000-01-06,50.40625,50.9375,49.3125,50.0,32.918861389160156,48242600,15.359375,15.65625,15.15625,15.4375,15.328289985656738,10221200,24435.0,25920.0,24435.0,25920.0,25920.0,15,3.565624952316284,3.634375095367432,3.200000047683716,3.278125047683716,3.278125047683716,375040000,15.5,16.0,15.25,16.0,16.0,11489400,74.921875,74.921875,68.75,70.625,42.16328048706055,5966880,26.25,27.5,26.25,27.5,27.5,4540,0.9475449919700624,0.955357015132904,0.8482139706611633,0.8482139706611633,0.7147226929664612,767972800
2000-01-07,49.6875,53.0,49.6875,52.9375,34.852848052978516,62260600,15.390625,16.1875,15.21875,16.1875,16.07298469543457,8253200,25920.0,32400.0,25920.0,32265.0,32265.0,98,3.3499999046325684,3.5250000953674316,3.309375047683716,3.4781250953674316,3.4781250953674316,210108000,15.40625,16.40625,15.375,16.25,16.25,8543400,73.59375,76.875,72.5,76.171875,45.47477340698242,7554320,30.0,30.0,26.25,28.75,28.75,4330,0.861607015132904,0.9017860293388368,0.8526790142059326,0.888392984867096,0.7485783100128174,460734400
2000-01-10,54.25,55.0,53.0625,54.90625,36.14902114868164,50583000,16.34375,16.8125,15.90625,16.8125,16.693559646606445,10987200,37935.0,39960.0,35505.0,37935.0,37935.0,118,3.628124952316284,3.631249904632568,3.278125047683716,3.4593749046325684,3.4593749046325684,295158000,16.75,17.75,16.6875,17.5,17.5,12916400,79.0625,79.53125,76.5625,78.4375,46.827369689941406,4197360,26.25,30.0,26.25,28.75,28.75,2700,0.9107139706611632,0.9129459857940674,0.845982015132904,0.872767984867096,0.7354124188423157,505064000
2000-01-11,54.0625,54.8125,52.5,53.25,35.05858612060547,43210200,16.796875,16.8125,15.59375,15.65625,15.545493125915527,9616000,36315.0,36990.0,33682.5,33682.5,33682.5,58,3.34375,3.5,3.25,3.3375000953674316,3.3375000953674316,210654000,17.5,17.96875,16.96875,17.25,17.25,6679800,77.34375,78.203125,74.921875,75.390625,45.00836944580078,2614080,27.5,30.0,26.25,27.5,27.5,19190,0.8565850257873535,0.8872770071029663,0.8080360293388367,0.828125,0.6977952122688293,441548800
2000-01-12,53.4375,53.75,51.75,51.90625,34.17388916015625,40757800,15.6875,15.84375,15.4375,15.578125,15.467920303344728,8051200,33142.5,33682.5,32130.0,32130.0,32130.0,28,3.393749952316284,3.4000000953674316,3.1500000953674316,3.1781249046325684,3.1781249046325684,216090000,17.0,18.375,16.8125,18.125,18.125,8818600,77.265625,77.96875,75.9375,77.421875,46.22101974487305,2635280,28.28125,28.75,25.3125,26.25,26.25,1690,0.8482139706611633,0.8526790142059326,0.7723209857940674,0.7784600257873535,0.6559466123580933,976068800
2000-01-13,53.0,53.25,51.875,53.09375,34.95572280883789,34494400,15.703125,16.5,15.6875,16.40625,16.29018783569336,5527200,32670.0,33345.0,31657.5,31860.0,31860.0,14,3.246875047683716,3.359375,3.15625,3.296875,3.296875,208962000,18.375,18.875,17.5625,18.875,18.875,7542200,79.375,81.875,77.96875,81.796875,48.83291244506836,3518400,26.25,28.125,25.3125,27.5,27.5,2170,0.8436099886894226,0.8816959857940674,0.825892984867096,0.8638389706611633,0.7278888821601868,1032684800
2000-01-14,54.125,54.625,52.5,53.78125,35.40835952758789,43623000,16.65625,16.84375,16.40625,16.578125,16.460845947265625,5136800,31860.0,32940.0,31860.0,32332.5,32332.5,9,3.3375000953674316,3.4312500953674316,3.200000047683716,3.2125000953674316,3.2125000953674316,137072000,18.5625,20.28125,18.5,20.1875,20.1875,15007800,81.796875,82.34375,80.703125,81.25,48.50642395019531,2673040,25.0,28.125,25.0,28.125,28.125,2570,0.892857015132904,0.9129459857940674,0.8872770071029663,0.896763026714325,0.7556312084197998,390376000
