date,linchpin__gdp_growth,linchpin__cpi_inflation,linchpin__unemployment_rate,linchpin__vix_index,linchpin__10y_treasury_yield,linchpin__federal_funds_rate,linchpin__consumer_sentiment_index,linchpin__housing_starts,linchpin__initial_jobless_claims,linchpin__industrial_production,linchpin__manufacturing_hours,linchpin__durable_goods_orders,linchpin__pmi_manufacturing
2000-01-31,10002.179,169.3,4.0,24.95,6.66,5.45,112.0,1636.0,285000.0,91.4092,41.5,201360.0,0.0135815709306044
2000-02-29,10002.179,170.0,4.1,23.37,6.52,5.73,111.3,1737.0,280000.0,91.7245,41.5,183911.0,-0.0246169924581807
2000-03-31,10002.179,171.0,4.0,24.11,6.26,5.85,107.1,1604.0,272000.0,92.083,41.4,192130.0,0.0142475141207617
2000-04-30,10247.72,170.9,3.8,26.2,5.99,6.02,109.2,1626.0,291000.0,92.6659,41.6,195044.0,0.0085313830676805
2000-05-31,10247.72,171.2,4.0,23.65,6.44,6.27,110.7,1575.0,280000.0,92.9347,41.2,188606.0,-0.0116266990164585
2000-06-30,10247.72,172.2,4.0,19.54,6.1,6.53,106.4,1559.0,296000.0,93.0018,41.3,219745.0,0.050547197913135
2000-07-31,10318.165,172.7,4.0,20.74,6.05,6.54,108.3,1463.0,298000.0,92.8373,41.5,189265.0,-0.0408665969861801
2000-08-31,10318.165,172.7,4.1,16.84,5.83,6.5,107.3,1541.0,312000.0,92.591,41.1,188730.0,-0.0048007949833537
2000-09-30,10318.165,173.6,3.9,20.57,5.8,6.52,106.8,1507.0,292000.0,92.9827,41.1,199947.0,0.0195224067725209
2000-10-31,10435.744,173.9,3.9,23.63,5.74,6.51,105.8,1549.0,301000.0,92.64,41.1,186158.0,-0.0221632353177209
2000-11-30,10435.744,174.2,3.9,29.65,5.72,6.51,107.6,1551.0,356000.0,92.6604,41.1,189392.0,0.0052997847891982
2000-12-31,10435.744,174.6,3.9,26.85,5.24,6.4,98.4,1532.0,353000.0,92.3457,40.3,188659.0,-0.0083590090844822
2001-01-31,10470.231,175.6,4.2,22.02,5.16,5.98,94.7,1600.0,362000.0,91.8908,40.7,177056.0,-0.0174435042837231
2001-02-28,10470.231,176.0,4.2,28.35,5.1,5.49,90.6,1625.0,386000.0,91.2851,40.5,180276.0,0.0013450916839949
2001-03-31,10470.231,176.1,4.3,28.64,4.89,5.31,91.5,1590.0,388000.0,91.0585,40.5,182209.0,0.0022238012113936
2001-04-30,10599.0,176.4,4.4,25.48,5.14,4.8,88.4,1649.0,406000.0,90.7384,40.4,171850.0,-0.0192025585646159
2001-05-31,10599.0,177.3,4.3,22.64,5.39,4.21,92.0,1605.0,405000.0,90.2607,40.4,177749.0,0.0081921003312246
2001-06-30,10599.0,177.7,4.5,19.06,5.28,3.97,92.6,1636.0,394000.0,89.7811,40.3,176350.0,-0.0052291679589884
2001-07-31,10598.02,177.4,4.6,21.62,5.24,3.77,92.4,1670.0,388000.0,89.2352,40.6,170129.0,-0.0107818187712632
2001-08-31,10598.02,177.4,4.9,24.92,4.97,3.65,91.5,1567.0,395000.0,89.157,40.3,170484.0,-0.0019412875186999
2001-09-30,10598.02,178.1,5.0,31.93,4.73,3.07,81.8,1562.0,517000.0,88.6749,40.2,164123.0,-0.0141007687237036
2001-10-31,10660.465,177.6,5.3,33.56,4.57,2.49,82.7,1540.0,483000.0,88.4051,40.1,171530.0,0.0115759373130947
2001-11-30,10660.465,177.5,5.5,23.84,4.65,2.09,83.9,1602.0,491000.0,87.886,40.0,163811.0,-0.0165971252950276
2001-12-31,10660.465,177.4,5.7,23.8,5.09,1.82,88.8,1568.0,421000.0,87.8518,40.2,165304.0,0.0040785924248081
2002-01-31,10783.5,177.7,5.7,21.09,5.04,1.73,93.0,1698.0,414000.0,88.4634,40.2,163324.0,-0.0008086897999924
2002-02-28,10783.5,178.0,5.7,21.59,4.91,1.74,90.7,1829.0,398000.0,88.4578,40.2,172406.0,0.0166568565508122
2002-03-31,10783.5,178.5,5.7,16.112097442070855,5.28,1.73,95.7,1642.0,479000.0,89.1265,40.5,167853.0,-0.0026599573848186
2002-04-30,10887.46,179.3,5.9,21.91,5.21,1.75,93.0,1592.0,414000.0,89.5507,40.6,171852.0,0.0097918769545364
2002-05-31,10887.46,179.5,5.8,19.98,5.16,1.75,96.9,1764.0,403000.0,89.9348,40.6,171854.0,0.0017191675240022
2002-06-30,10887.46,179.6,5.8,25.4,4.93,1.75,92.4,1717.0,386000.0,90.6736,40.7,166070.0,-0.0060720904639152
2002-07-31,10984.04,180.0,5.8,32.03,4.65,1.73,88.1,1655.0,390000.0,90.6436,40.4,174282.0,0.0124910632234095
2002-08-31,10984.04,180.5,5.7,32.64,4.26,1.74,87.6,1633.0,394000.0,90.5505,40.5,177126.0,0.0052272486075207
2002-09-30,10984.04,180.8,5.7,39.69,3.87,1.75,86.1,1804.0,409000.0,90.6373,40.5,166838.0,-0.0170414515315986
2002-10-31,11061.433,181.2,5.7,31.14,3.94,1.75,80.6,1648.0,409000.0,90.3988,40.3,169134.0,0.0015945275639447
2002-11-30,11061.433,181.5,5.9,27.5,4.05,1.34,84.2,1753.0,377000.0,90.8947,40.4,170023.0,0.004515550009141
2002-12-31,11061.433,181.8,6.0,28.62,4.03,1.24,86.7,1788.0,409000.0,90.3906,40.5,163962.0,-0.0121702523726287
2003-01-31,11174.129,182.6,5.8,31.17,4.05,1.24,82.4,1853.0,407000.0,91.1369,40.3,169994.0,0.0128577779416995
2003-02-28,11174.129,183.6,5.9,29.63,3.9,1.26,79.9,1629.0,421000.0,91.2505,40.3,174113.0,0.0077676706670403
2003-03-31,11174.129,183.9,5.9,29.15,3.81,1.25,77.6,1726.0,436000.0,91.0006,40.4,172245.0,-0.0035696285942234
2003-04-30,11312.766,183.2,6.0,21.21,3.96,1.26,86.0,1643.0,444000.0,90.4311,40.1,169347.0,-0.0097784644352037
2003-05-31,11312.766,182.9,6.1,19.47,3.57,1.26,92.1,1751.0,431000.0,90.4,40.2,171542.0,0.0044990320764646
2003-06-30,11312.766,183.1,6.3,19.52,3.33,1.22,89.7,1867.0,429000.0,90.5196,40.3,173507.0,0.0047119483947881
2003-07-31,11566.669,183.7,6.2,19.49,3.98,1.01,90.9,1897.0,398000.0,90.9869,40.1,173320.0,0.0002528035038677
2003-08-31,11566.669,184.5,6.1,18.63,4.45,1.03,89.3,1833.0,407000.0,90.7933,40.2,173044.0,-0.0005807109139091
2003-09-30,11566.669,185.1,6.1,22.72,4.27,1.01,87.7,1939.0,387000.0,91.3819,40.5,178690.0,0.0146202108011821
2003-10-31,11772.234,184.9,6.0,16.1,4.29,1.01,89.6,1967.0,379000.0,91.5049,40.6,183704.0,0.009697071071184
2003-11-30,11772.234,185.0,5.8,16.32,4.3,1.0,93.7,2083.0,357000.0,92.1265,40.9,181685.0,0.00163682836463
2003-12-31,11772.234,185.5,5.7,18.31,4.27,0.98,92.6,2057.0,349000.0,92.1732,40.7,181513.0,-0.0015482360240927
2004-01-31,11923.447,186.3,5.7,16.63,4.15,1.0,103.8,1911.0,376000.0,92.3268,40.9,178696.0,-0.0025150922007514
2004-02-29,11923.447,186.7,5.6,14.55,4.08,1.01,94.4,1846.0,348000.0,92.8995,41.0,181662.0,0.0081940890930536
