date,linchpin__mortgage_rate,linchpin__core_cpi,linchpin__import_prices,linchpin__retail_sales,linchpin__industrial_production,linchpin__nonfarm_payrolls,linchpin__real_gdp_growth,linchpin__10y_treasury_yield,linchpin__s&p500_returns,linchpin__ism_nonmanufacturing_index,linchpin__export_prices
2003-02-28,5.79,192.5,127.4,291167.0,91.2505,130441.0,14614.141,3.9,-0.0170036082568717,-0.0056762647579618,0.0303012603645515
2003-03-31,5.91,192.5,128.2,296325.0,91.0006,130235.0,14614.141,3.81,0.0083575676843328,0.0066121904300211,-0.0014756671899529
2003-04-30,5.79,192.5,121.7,295600.0,90.4311,130172.0,14743.567,3.96,0.0810441071800323,-0.0011237774717354,-0.01747699829253
2003-05-31,5.31,192.9,117.3,296410.0,90.4,130196.0,14743.567,3.57,0.0508987096095225,0.0017747638355577,-0.0371508321861649
2003-06-30,5.24,193.0,127.0,299626.0,90.5196,130185.0,14743.567,3.33,0.0113222146768521,0.0044701091446396,0.0280571164161113
2003-07-31,5.94,193.4,127.3,302747.0,90.9869,130184.0,14988.782,3.98,0.0162237019585365,0.0047859848494938,0.0408419030592748
2003-08-31,6.32,193.6,125.4,307809.0,90.7933,130153.0,14988.782,4.45,0.0178732035934878,0.0069268931966687,0.0164656417341147
2003-09-30,5.98,193.7,128.5,305933.0,91.3819,130253.0,14988.782,4.27,-0.0119443645855257,-0.0020524188056451,0.0044255176082093
2003-10-31,5.94,194.0,135.4,304809.0,91.5049,130440.0,15162.76,4.29,0.0549614866357166,-0.0005742665338416,0.0282496532122261
2003-11-30,5.89,194.0,135.4,308527.0,92.1265,130481.0,15162.76,4.3,0.0071285040713728,0.0049734172514802,0.0004662004662004
2003-12-31,5.85,194.2,139.3,307407.0,92.1732,130589.0,15162.76,4.27,0.050765540778892,-0.0008944705564429,0.0133157020391555
2004-01-31,5.68,194.6,145.4,309254.0,92.3268,130756.0,15248.68,4.15,0.0172763869507552,0.0034048945588524,0.0168925010080442
2004-02-29,5.58,194.9,148.1,311393.0,92.8995,130820.0,15248.68,4.08,0.0122089737376105,0.003375983367329,0.0063737249516463
